tweet	date
Daryl Morey, who in October last year sparked controversy between the NBA and China with a tweet in support of pro-democracy protestors in Hong Kong, is stepping down as the Houston Rockets general manager. https://t.co/QQACEZzcuT 	2020-10-16
Hong Kong and Singapore plan to open an "air travel bubble" that allows residents to travel between the two Asian hubs without requiring quarantine or restrictive control measures, authorities announced https://t.co/7jpHKYdfKZ 	2020-10-15
When 12 Hong Kongers boarded a speedboat in the tiny fishing village of Po Toi O on August 23, they didn't realize they were headed for a world of trouble. 	2020-10-09
The United States and China have a frosty economic relationship right now. And there are growing expectations that more Chinese companies that have stocks trading on US exchanges will look to move their listings to mainland China or Hong Kong. https://t.co/99GS6OMegI 	2020-09-24
This graphic designer is on a mission to save an ancient form of calligraphy -- and a part of Hong Kong's visual culture -- from extinction: https://t.co/vl3qrHeyV3 https://t.co/FewWf5xWww 	2020-09-24
Hong Kong was once a safe haven from China. Now activists are fleeing the city by boat to Taiwan https://t.co/inuIg1HVJK https://t.co/K39uUNat1l 	2020-09-15
An exceptionally rare 102.39-carat diamond may become one of the most expensive stones ever to sell at auction when it goes under the hammer in Hong Kong next month. https://t.co/vZMP9DRz0n 	2020-09-11
Police in Hong Kong have come under heavy criticism after a widely-circulated video showed officers tackling a 12-year-old girl to the ground during a pro-democracy protest on Sunday. https://t.co/MTcADrj1Mj 	2020-09-08
Police in Hong Kong have come under heavy criticism after a widely-circulated video showed officers tackling a 12-year-old girl to the ground during a pro-democracy protest on Sunday. https://t.co/1jXWLpIlid 	2020-09-08
In Hong Kong's growing climate of fear and self-censorship, it's unclear what can legally be said in the classroom — and whether student activism may become a thing of the past. https://t.co/zOh11YRS8c 	2020-09-06
Pro-democracy activists are once again asking people to boycott Disney's live-action remake of "Mulan," calls that erupted last year when the film's lead actress Liu Yifei expressed support for Hong Kong police https://t.co/p9oF0fal2Z 	2020-09-04
In Hong Kong's growing climate of fear and self-censorship, it's unclear what can legally be said in the classroom — and whether student activism may become a thing of the past. https://t.co/SanSS6zYXZ 	2020-09-04
In Hong Kong's growing climate of fear and self-censorship, it's unclear what can legally be said in the classroom — and whether student activism may become a thing of the past. https://t.co/EEfQLo9Mi2 	2020-09-04
Hong Kong's very first CBD cafe has opened as the sale of non-medicinal CBD products is quietly emerging in Asia https://t.co/G0XO3xWv5k 	2020-09-02
CNN's Paul Devitt takes us along as he flies from Hong Kong to Australia, where he had to enter quarantine for two weeks and came up with some interesting ways to pass the time https://t.co/ht1x5nyYlJ https://t.co/iTU17dgjSa 	2020-08-30
CNN's Paul Devitt takes us along as he flies from Hong Kong to Australia, where he had to enter quarantine for two weeks and came up with some interesting ways to pass the time https://t.co/f6h4vNcnM7 https://t.co/aAbrpFaqYr 	2020-08-29
An Irish journalist has been denied a work visa for Hong Kong, stoking fears of a clampdown on press freedoms following the imposition of a national security law by Beijing. https://t.co/Bqe3Eh8YPh 	2020-08-27
CNN's Paul Devitt takes us along as he flies from Hong Kong to Australia, where he had to enter quarantine for two weeks and came up with some interesting ways to pass the time https://t.co/ebAu4Id2Ho https://t.co/HqWHT6gPI3 	2020-08-26
A 33-year-old man living in Hong Kong had Covid-19 twice this year, according to preliminary research. He had symptoms the first time around, but no obvious symptoms the second time, the team at the University of Hong Kong reports. https://t.co/aZo9ThMDEV 	2020-08-24
A 33-year-old man living in Hong Kong had coronavirus twice this year, according to preliminary research out of China. 	2020-08-24
The United States government has officially suspended its extradition treaty with Hong Kong over concerns that the Chinese government's new national security law is eroding the city's autonomy https://t.co/ZaLaB0Gfqr 	2020-08-20
The United States government has officially suspended its extradition treaty with Hong Kong over concerns that the Chinese government's new national security law is eroding the city's autonomy https://t.co/rGGpaOsNLw 	2020-08-20
In a pair of interviews on Tuesday, President Trump railed against his competitor for being weak on China -- but stopped short himself of condemning China's repression of its Uyghur ethnic minority or its crackdown on political freedoms in Hong Kong. https://t.co/uIFadlLRpC 	2020-08-11
From Belarus to Hong Kong, journalists 'are bearing the brunt of the global surge in repression.' 	2020-08-11
It's been less than six weeks since a security law banning secession, subversion and collusion came into force in Hong Kong. But it's already having a dramatic effect on the city's political, media and online spheres | Analysis by @jgriffiths https://t.co/7aFUCnhkKm 	2020-08-11
Hong Kong pro-democracy newspaper Apple Daily has vowed to keep operating after police raided its headquarters and arrested its founder, Jimmy Lai, on Monday. 	2020-08-11
China has imposed sanctions on 11 Americans — including Sens. Marco Rubio, Ted Cruz and Tom Cotton — for "behaving badly on Hong Kong-related issues." https://t.co/eirHSohb3w 	2020-08-10
A Hong Kong media tycoon known for his support of the city's pro-democracy movement and criticism of China has been arrested on suspicion of "colluding" with foreign forces, according to local police. https://t.co/VaenEu2vfR 	2020-08-10
A Hong Kong media tycoon known for his support of the city's pro-democracy movement and criticism of China has been arrested under the new security law imposed on the city by Beijing last month, which bans "collusion with foreign forces." https://t.co/0JimLlMwim 	2020-08-10
JUST IN: The US has sanctioned Hong Kong Chief Executive Carrie Lam for her role in crackdowns on political freedom in the region https://t.co/LzHiMAIqjR 	2020-08-07
Some governments are reaching for a new tool in the fight against Covid-19: stricter mask mandates. 	2020-08-04
Hong Kong-based designers have set to work reimagining the city's most iconic modes of transportation, including its historic trams and the ever-popular ferries, to see what public transit could potentially look like in a post-pandemic world https://t.co/phONA2qluq 	2020-08-03
Hong Kong is setting up an election without a real opposition | Analysis by @jgriffiths https://t.co/yzzTkooVLK https://t.co/5xzJchDFK5 	2020-07-31
Police in Hong Kong have arrested four members of a student-led pro-independence group for suspected secessionist offenses on social media under the city's sweeping new national security law. https://t.co/1w4hTlXA6L 	2020-07-30
At least a dozen pro-democracy candidates in Hong Kong have been disqualified from standing in upcoming legislative elections, including prominent activist and former leader of the 2014 Umbrella Movement Joshua Wong. https://t.co/t2eCnsZDx9 	2020-07-30
Police in Hong Kong have arrested four members of a student-led pro-independence group for suspected secessionist offenses on social media under the city's sweeping new national security law. https://t.co/6ua2S5WCuA 	2020-07-30
The coronavirus pandemic has forced Hong Kong into an even deeper recession. And it may take longer than expected to recover. https://t.co/nUA2xEfgVD 	2020-07-29
Hong Kong will make wearing masks in public compulsory and limit gatherings to no more than two people as officials in the city grapple with a rising surge in coronavirus infections. 	2020-07-27
The complex drainage system in Hong Kong protects from once-disastrous flooding caused by seasonal typhoons. But will it be strong enough to withstand the effects of the climate crisis? 	2020-07-26
The UK will suspend its extradition treaty with Hong Kong, effective immediately, and Britain's arms embargo on China will be extended to the semi-autonomous city. https://t.co/rMHMlH18YK 	2020-07-20
Since the start of 2020, the biggest names in US tech have invested around $17 billion in India. 	2020-07-17
The latest blow to the city's standing came Tuesday, when President Trump followed through on a threat to revoke the United States' special relationship with Hong Kong. https://t.co/sVQDU8NW6O 	2020-07-15
The New York Times is moving some staff out of Hong Kong due to a new security law imposed by China on the city, as both foreign and local media face increased uncertainty in the Asian financial hub. https://t.co/fGI92UhxrH 	2020-07-15
Walt Disney World Resort launched its phased reopening despite Florida's Covid-19 surge. Hong Kong Disneyland said it would shut down after social distancing measures were tightened amid 52 new cases in Hong Kong. | Analysis by @StCollinson and @husca https://t.co/FQO6Iyn5xP https://t.co/ylyscJtMTd 	2020-07-15
Walt Disney World Resort launched its phased reopening despite Florida's Covid-19 surge. Hong Kong Disneyland said it would shut down after social distancing measures were tightened amid 52 new cases in Hong Kong. | Analysis by @StCollinson and @husca https://t.co/dfZejUTmGB https://t.co/nTmJKSDlZe 	2020-07-14
A primary election held by Hong Kong's democratic opposition may have been illegal under the new security law, China said, in a statement that shows how far the goalposts have moved just two weeks after the sweeping legislation was imposed on the city. https://t.co/oScNthXdpu 	2020-07-14
The resort, which reopened on June 18, is shutting down again after Hong Kong tightened its social-distancing measures following a rise of 52 new coronavirus cases in the city. https://t.co/KkcwKQ7QkP 	2020-07-14
The resort, which reopened on June 18, is shutting down again after Hong Kong tightened its social-distancing measures following a rise of 52 new coronavirus cases in the city. https://t.co/LLvKjUVajt 	2020-07-13
Braving scorching conditions, a new wave of coronavirus infections and government warnings they could be breaking the law, hundreds of thousands of Hong Kongers took part in a primary election for the city's democratic opposition over the weekend. https://t.co/H8TC9DnL3e 	2020-07-13
"Hong Kong people have demonstrated to the world, and also to the authorities, that we have not given up to strive for democracy." 	2020-07-13
Hong Kong confirmed 38 new coronavirus cases on Friday as the number of confirmed locally transmitted infections continues to rise in the city. 	2020-07-10
"All my body died for him... He is the dark in my life." 	2020-07-10
A new law that gives Hong Kong authorities sweeping powers to regulate online content could put companies on a collision course with China's massive censorship mechanism, known as the Great Firewall — and potentially force them out of Hong Kong altogether. https://t.co/KlcGeSONJ8 	2020-07-10
United and American Airlines are canceling flights to and from Hong Kong after the city said it would require all crew members to be tested for Covid-19 upon arrival https://t.co/1W0ZPswzKn 	2020-07-09
HSBC has carved out a lucrative role in global banking over the past 155 years by straddling the line between East and West. 	2020-07-09
Australia has suspended its extradition treaty with Hong Kong, Prime Minister Scott Morrison announced, as the country moves to offer a path to citizenship for those Hong Kongers who wish to leave the city. https://t.co/VEsLKfOFK6 	2020-07-09
Authorities in Hong Kong, a city lauded for its quick and effective response to the coronavirus pandemic, are now warning of potential "exponential growth" in new cases of Covid-19 after a surge in local transmissions. https://t.co/Rb4aLG5DM3 	2020-07-09
Hong Kong authorities insist the national security law will "only target an extremely small minority of people," yet its broad language and global scope raise questions about what it means for foreign travelers once Covid-19 travel restrictions ease https://t.co/yLsU8pjFJp 	2020-07-09
Schools in Hong Kong have been told that they must remove books and teaching materials that could violate the sweeping national security law that was imposed by Beijing last week https://t.co/AyiNmGww80 	2020-07-07
"If they can't be trusted to keep their word on Hong Kong, why would they be trusted to live up to wider international responsibilities." 	2020-07-07
Schools in Hong Kong have been told that they must remove books and teaching materials that could violate the sweeping national security law that was imposed by Beijing last week https://t.co/GoLqGCMQ3p 	2020-07-07
TikTok says it will exit Hong Kong, joining other big tech firms that have expressed wariness about operating in the Asian financial hub after China imposed a controversial national security law there. https://t.co/TiyBJ7Youl 	2020-07-07
Facebook and its messaging service WhatsApp will stop processing requests for user data made by Hong Kong law enforcement authorities while they carry out an assessment of a controversial security law imposed by China on the city. https://t.co/IVXKwVHHgx 	2020-07-06
The first person in Hong Kong to be prosecuted under the city's sweeping new national security law has been denied bail after appearing in court on Monday. https://t.co/wXJ6aQIvBZ 	2020-07-06
A year ago, Chinese-Australian dissident artist Badiucao was looking for a place in Hong Kong to display some of his political works. 	2020-07-03
