tweet	date
The Trump administration has alerted Congress of its intent to move forward with three advanced weapons sales to Taiwan, sources say https://t.co/jaDSl9EszI 	2020-10-12
When it comes to international recognition, even when Taiwan wins, it loses | Analysis by @jgriffiths https://t.co/kQZn8YTmgf https://t.co/FD3ntyWq3Y 	2020-09-29
When it comes to international recognition, even when Taiwan wins, it loses | Analysis by @jgriffiths https://t.co/nDxh9DC9kV https://t.co/kTpnMbAFGN 	2020-09-29
Initial, early responses in China were critical in preventing the spread of coronavirus in Taiwan, potentially saving thousands of lives. Everyday life there is now very different from a lot of places worldwide where leaders weren't quick to act. https://t.co/brujBUPNTT 	2020-09-22
A high-profile United States official is visiting Taiwan for the second time in two months https://t.co/1Gn3v1cMIN 	2020-09-18
The Trump administration is expected to soon approve another major weapons sale including drones to Taiwan, sources say. The move comes as the US and Taiwan are strengthening ties and amid mounting tensions between Washington and Beijing. https://t.co/6Vjo6qnlJ1 	2020-09-17
Hong Kong was once a safe haven from China. Now activists are fleeing the city by boat to Taiwan https://t.co/inuIg1HVJK https://t.co/K39uUNat1l 	2020-09-15
Taiwan appears determined to create an anti-Beijing alliance as Chinese state media warns of potential sanctions against US | Analysis by @jgriffiths https://t.co/kuDMokyfcP https://t.co/UHJGqn4ADL 	2020-09-09
A 3-year-old girl was caught in a kite and swept high into the air at a kite-flying festival in Taiwan. 	2020-08-31
A 3-year-old girl was caught in a kite and swept high into the air at a kite-flying festival in Taiwan. 	2020-08-31
Taiwan will receive 66 new American-made F-16 fighter jets in the biggest arms sale to the self-governing island in years. 	2020-08-17
With Washington moving closer to Taiwan, and the upcoming US presidential election likely to further destabilize the already volatile US-China relationship, Taipei could find itself in a precarious position with Beijing https://t.co/O02o4CQKTd 	2020-08-14
A megamouth shark that was captured by fishers off the coast of Taiwan in 2018 is sitting on a gigantic block of ice at the Smithsonian. Researchers hope to unravel clues about this mysterious animal's life, but they will be working against the clock. https://t.co/LAbO4ziCU1 	2020-08-11
China is stepping up military drills around East Asia as a war of words with the United States heats up over Washington's military activities and the visit of a US cabinet secretary to Taiwan. https://t.co/dij1qYOCCW 	2020-08-11
Alex Azar, the United States Health and Human Services secretary, met with Taiwanese President Tsai Ing-wen Monday, the highest-level meeting between Washington and the self-ruled island in decades. https://t.co/WVNE9maLIp 	2020-08-10
Alex Azar, the United States Health and Human Services secretary, met with Taiwanese President Tsai Ing-wen Monday, the highest-level meeting between Washington and the self-ruled island in decades. https://t.co/hNZRWlMtmo 	2020-08-10
United States Health and Human Services Secretary Alex Azar will lead a delegation to Taiwan, his office announced Tuesday, in a high-level trip that is almost certain to anger Beijing, which claims the self-governing island as part of its territory. https://t.co/dBHX6XNEUP 	2020-08-05
An airline in Taiwan is introducing a special flight to nowhere to help satisfy its customers' travel itch. 	2020-08-04
"Taiwan, in particular, effectively contained Covid-19 by springing to action early, coordinating a government-wide response to the virus, and clearly communicating with its citizenry," Lanhee Chen writes for @CNNOpinion https://t.co/DycIV3nFaT 	2020-07-10
While most flights in Taiwan are still grounded because of the Covid-19 outbreak, Taipei Songshan Airport is offering locals a tiny taste of travel, dubbed "pretend to go abroad" airport tours. https://t.co/DKl4l0uJ2a 	2020-07-03
Concerns over separatism can be seen in the hardline policies adopted by Beijing in Xinjiang, Tibet, Hong Kong, and Taiwan. Yet such policies can often backfire | Analysis by @jgriffiths https://t.co/48UXIwFxhc 	2020-06-29
As the world continues to reel from the coronavirus pandemic, China is flexing its muscles in Hong Kong, the South China Sea and along its border with India, all the while ramping up aggressive rhetoric towards Taiwan and the US | Analysis by @jgriffiths https://t.co/VlCQl8yKuW 	2020-05-27
The president of Taiwan, where sympathy protests were held in support of Hong Kong over the weekend, vowed to "provide Hong Kong's people with necessary assistance." https://t.co/Kxrncaw2mX 	2020-05-25
Eager to share its experiences fighting Covid-19, Taiwan is pushing for a greater voice in global health discussions. The US, Japan &amp; New Zealand have voiced support for Taiwan to join next week's World Health Assembly. 	2020-05-16
The Taiwan-based company, which is the main assembler of Apple products such as the iPhone and iPad, was forced to close its factories in China in late January as much of the country was locked down to prevent the spread of the coronavirus. https://t.co/RW0lhNYozB 	2020-05-15
Taiwan Semiconductor Manufacturing Co has announced that it plans to build a $12 billion semiconductor factory in Arizona that will create more than 1,600 high-tech jobs, with construction to start next year. https://t.co/GDntv3dfWO 	2020-05-15
"CDCs in South Korea and Taiwan helped those countries act swiftly, decisively and successfully against Covid-19. ... The US, conversely, suffers from pandemic amnesia, a kind of collective myopia," writes Jennifer Prah Ruger for @CNNOpinion https://t.co/vacAU8tbX3 	2020-05-14
President Tsai Ing-wen announced Taiwan will be donating 10 million face masks to countries most in need https://t.co/rKDWMszTgV 	2020-04-01
The Boston Red Sox, out of an abundance of caution, have kept a prospect from Taiwan from reporting to the team's spring training complex in Fort Myers, Florida because of coronavirus fears, CNN has learned. https://t.co/11SYKI8WBG 	2020-02-26
The Boston Red Sox, out of an abundance of caution, have kept a prospect from Taiwan from reporting to the team's spring training complex in Fort Myers, Florida because of coronavirus fears, CNN has learned. https://t.co/SwylBzFL9L 	2020-02-26
Taiwan is banning any foreign national who has visited or lived in the People’s Republic of China in the past 14 days from entering. Those needing to enter for “special reasons” can fill out a visa as long as they have not been to areas “severely affected” https://t.co/7DRQr0SijB 	2020-02-04
At least 22 cases of Wuhan coronavirus have now been confirmed outside of mainland China: 	2020-01-24
Taiwan's Foxconn is best known for crafting iPhones for Apple. Now, it wants to team up with Fiat Chrysler to develop electric cars. https://t.co/ZAHgbYaV0U 	2020-01-17
Peaceful unification, the idea that Taiwanese voters will choose to join a China ruled by the Communist Party is dead -- if it wasn't already years ago | Analysis by @jgriffiths https://t.co/lg3AMtyHcE 	2020-01-13
Taiwan's president thanks voters after winning re-election https://t.co/AowU8z5COj https://t.co/PIu4m9ZGQs 	2020-01-11
Taiwan goes to the polls Saturday for elections dominated more than ever by relations with Beijing, which has been accused of trying to bully voters and distort the results in its favor | Analysis by @jgriffiths https://t.co/WKytnjsQ9T https://t.co/drNqivMBje 	2020-01-10
Taiwan's top military official was among eight people killed when their Black Hawk helicopter crashed in mountains in the north of the island. https://t.co/lqJbzjKZRL 	2020-01-02
Godfrey Gao, a Taiwanese-Canadian model and actor, has died at the age of 35 https://t.co/r1tuMYr53m 	2019-11-27
A Taiwanese tourist was arrested and fined for wearing a particularly revealing bikini on the beach at the Philippines' newly reopened resort island of Boracay https://t.co/ZY4LjgkRqP 	2019-10-14
At least 12 people were injured and two were killed when a bridge collapsed during the morning commute in Taiwan, sending an oil tanker truck plummeting into fishing boats below. https://t.co/X6WlbCBo0Y https://t.co/YIxOi6DRe7 	2019-10-01
The Solomon Islands government has voted to establish diplomatic relations with Beijing over Taipei, whittling Taiwan's already shrinking number of diplomatic allies down to 16 https://t.co/Z1XEQN162X 	2019-09-17
Taiwan has warned citizens against traveling to Hong Kong or mainland China after a Taiwanese businessman was detained following a visit to the protest-wracked city https://t.co/qeTsrkyRvy 	2019-09-12
The Trump administration has formally approved a major $8 billion arms sale to Taiwan involving 66 new F-16C/D fighter jets, the State Department announced https://t.co/3ZLngeMOSB 	2019-08-20
The Trump administration has informally greenlit a potential major arms sale to Taiwan involving dozens of new F-16 fighter jets, according to administration officials and others familiar with the matter. https://t.co/ZTTpB0ETr1 	2019-08-16
Officials are investigating the death of a passenger who fell into the ocean from the 11th deck of a cruise ship, according to Taiwanese news agency CNA. https://t.co/B5HmPDGiVK 	2019-08-13
Luxury brands Coach, Versace and Givenchy have apologized to Chinese consumers for T-shirts that seemingly referred to Hong Kong, Macau and Taiwan as independent from China https://t.co/ICU5r45FM0 https://t.co/ISMH64LJUD 	2019-08-13
Luxury brands Coach, Versace and Givenchy have apologized to Chinese consumers for T-shirts that seemingly referred to Hong Kong, Macau and Taiwan as independent from China https://t.co/4WzpZ7Vdpf https://t.co/hYeAzDBNbt 	2019-08-13
Luxury brands Coach, Versace and Givenchy have apologized to Chinese consumers for T-shirts that seemingly referred to Hong Kong, Macau and Taiwan as independent from China https://t.co/iOwzg9BhmN https://t.co/lHvh2vTrtg 	2019-08-12
Residents in Taiwan and Japan are bracing for Typhoon Lekima, which could become a super typhoon by the time it hits a Japanese island chain on Thursday https://t.co/LcjJuQwnVe 	2019-08-08
The Chinese government announced Wednesday that it will suspend a program allowing solo tourists from 47 cities to visit Taiwan, amid rising cross-strait tensions https://t.co/yKZkePZo1T 	2019-07-31
The US Navy sailed a warship through the Taiwan Strait, a move that came on the same day Beijing warned that it would not rule out using force against self-governed Taiwan to block any move toward formal independence https://t.co/2WeKNy0m7b 	2019-07-24
Why was the Taiwan flag removed from Tom Cruise's 'Top Gun' jacket? https://t.co/quEO1aooqu 	2019-07-22
China held military drills off the coast of Taiwan as tensions rise between Beijing and Washington over US support for the island that China views as a part of its territory. https://t.co/LVj2APUNAi 	2019-07-15
The Trump administration has approved selling Abrams tanks and Stinger missiles to Taiwan, a major potential arms sale that is bound to irk Beijing and comes as the administration seeks to negotiate a major trade agreement with China https://t.co/WPS6L2EVmj 	2019-07-08
Classified as "endangered" by the Taiwan government, Formosan black bears are being pushed to the brink of extinction by illegal hunting and land clearing https://t.co/oXStgCwGyH 	2019-06-09
A charter flight carrying 94 Taiwanese criminal suspects arrived in Beijing from Spain, making it the first large-scale extradition from Europe to China, state media reported https://t.co/mJbErcp9ty 	2019-06-07
Amber Wang took the hand of her new wife, Kristin Huang, in Taipei, Taiwan, Friday, making history as one of the first same-sex couples to marry in Asia. Across the island of 24 million, the first gay and lesbian couples in Asia legally tied the knot. https://t.co/dzxrXRFqWl https://t.co/v0oiBPF5Js 	2019-05-25
Amber Wang took the hand of her new wife, Kristin Huang, in Taipei, Taiwan, Friday, making history as one of the first same-sex couples to marry in Asia. Across the island of 24 million, the first gay and lesbian couples in Asia legally tied the knot. https://t.co/2yQypi2aGm https://t.co/t7UBNaPLgd 	2019-05-24
Amber Wang took the hand of her new wife, Kristin Huang, in Taipei, Taiwan, Friday, making history as one of the first same-sex couples to marry in Asia. Across the island of 24 million, the first gay and lesbian couples in Asia legally tied the knot. https://t.co/IgRC74i7UM https://t.co/okWKcLbyaQ 	2019-05-24
After years of fierce debate, Taiwan is celebrating the first same-sex weddings in Asia today https://t.co/490DZtmbuj https://t.co/E7VrK2HHnE 	2019-05-24
Today, Taiwan celebrates the first same-sex weddings in Asia. As of 10 am local time, 166 same-sex couples had already registered their marriages https://t.co/490DZtmbuj https://t.co/OOnKr4Bknh 	2019-05-24
On Friday, as the first same-sex weddings take place in Taiwan, China's LGBTQ community will be watching with mixed feelings. https://t.co/8hro1aiJRb 	2019-05-23
On Friday, as the first same-sex weddings take place in Taiwan, China's LGBTQ community will be watching with mixed feelings. https://t.co/9Q6uARWonH 	2019-05-23
On Friday, as the first same-sex weddings take place in Taiwan, China's LGBTQ community -- some of whom are just 100 kilometers away -- will be watching with mixed feelings. https://t.co/Vq4ocvxEnV 	2019-05-23
When Chinese gay rights activist Peng Yanhui heard that Taiwan had approved a bill legalizing same-sex marriage on May 17 as he boarded a flight, he burst into tears of joy. 	2019-05-23
An inflatable artwork depicting the infamous "Tank Man" incident has appeared in Taiwan's capital, Taipei, nearly two weeks before the 30th anniversary of the 1989 Tiananmen Square crackdown in Beijing. https://t.co/GMr3M6uKtg https://t.co/D0bowIPyoO 	2019-05-22
Lawmakers in Taiwan approved a bill legalizing same-sex marriage, making it the first place in Asia to pass gay marriage legislation https://t.co/BBnWUvynTw 	2019-05-18
Taiwan just became the first place in Asia to pass gay marriage legislation https://t.co/1VVHFxvXnj 	2019-05-17
JUST IN: Lawmakers in Taiwan have approved a bill legalizing same-sex marriage, making it the first place in Asia to pass gay marriage legislation https://t.co/dFcCoNXWWn 	2019-05-17
Taiwanese businessman and presidential hopeful Terry Gou has met with US businessman and current President Donald Trump, and received this advice: Being president is a tough job. https://t.co/FBhKRruQDu https://t.co/caFgeoDN2l 	2019-05-02
Doctors treating a Taiwanese woman for a swollen eye found four tiny bees living under her left eyelid https://t.co/APwKUoPDj3 	2019-04-14
Doctors treating a Taiwanese woman for a swollen eye found four tiny bees living under her left eyelid https://t.co/MiHPGqXevT 	2019-04-10
Doctors treating a Taiwanese woman for a swollen eye found four tiny bees living under her left eyelid https://t.co/QtbtiFiN6c https://t.co/uxEWtNT059 	2019-04-10
Doctors treating a Taiwanese woman for a swollen eye found four tiny bees living under her left eyelid https://t.co/y2hXWdLvHx 	2019-04-10
Welcome to Taiwan's cat village https://t.co/JbpROzxLRm https://t.co/lRr8u4z4pG 	2019-04-02
Welcome to Taiwan's cat village https://t.co/BvXZKYOvOi https://t.co/1XL6wYLa2d 	2019-04-02
Taiwan has accused China of "reckless and provocative" action, after two Chinese air force jets crossed a maritime border separating the island from the mainland https://t.co/D6IIoavHBL https://t.co/mvSFhK5eYc 	2019-04-01
Welcome to Taiwan's cat village https://t.co/cghYJ1Ymnu https://t.co/lSdnF2rT9N 	2019-04-01
The United States sailed two ships through the Taiwan Strait, Sunday, in an operation that comes as top officials from the Trump administration prepare to travel to Beijing for high-level trade talks https://t.co/kANnUEhzDT https://t.co/lebOhPgMgp 	2019-03-25
The United States sailed two ships through the Taiwan Strait, Sunday, in an operation that comes as top officials from the Trump administration prepare to travel to Beijing for high-level trade talks https://t.co/2FuypmSCBH https://t.co/gqHmBG2bpe 	2019-03-25
Taiwan's President Tsai Ing-wen tells CNN that the military threat posed by China is growing "every day" -- and that any country in Asia would face similar threats "if it no longer wants to submit to the will of China" https://t.co/r0whaeSOvB https://t.co/ijOkZFwiTb 	2019-02-20
Taiwan President Tsai Ing-wen has told CNN that she will run for re-election as the island's leader in 2020, despite her flagging popularity and growing hostility from Beijing https://t.co/6q9n3WK5Ro 	2019-02-19
These days, it's all about swiping right to find a partner. But some Taiwan residents have another method for finding romance besides Tinder -- they call on the god of marriage and love https://t.co/Gm00s684S0 	2019-02-14
These days, it's all about swiping right to find a partner. But some Taiwan residents have another method for finding romance besides Tinder -- they call on the god of marriage and love https://t.co/gbDC1zZrIQ 	2019-02-13
China and Taiwan have marked the #LunarNewYear holiday by releasing competing videos of military grandstanding, in the latest rhetorical clash between the two governments https://t.co/VHBaKmtvKV https://t.co/8fa20rYy2s 	2019-02-06
Taiwanese electronics giant Foxconn is now planning to recruit workers for a "technology hub" in Wisconsin, instead of hiring the blue-collar factory workers that Trump promised to put back to work. The move caught state officials off guard. https://t.co/QLmNgh4CYs 	2019-01-31
Wisconsin state and local officials promised $4 billion in tax breaks to Foxconn to build a factory and create 13,000 blue-collar jobs. Now, the Taiwanese electronics manufacturer may be changing its plans. https://t.co/wo6DHTGzfX https://t.co/9fvREPQVMK 	2019-01-31
Taiwanese electronics giant Foxconn is now planning to recruit workers for a "technology hub" in Wisconsin rather than a factory, instead of hiring the blue-collar workers that Trump promised to put back to work. The move caught state officials off guard. https://t.co/oHD5BQyKDa 	2019-01-30
Taiwanese company Foxconn may drop plans to build flat screen panels at a Wisconsin plant for which it was promised $4 billion in state and local tax dollars. But the company says it will develop the property and still expects to hire up to 13,000 workers. https://t.co/wo6DHTGzfX https://t.co/GIMqiZTVOL 	2019-01-30
