tweet	date
At least 22 are dead and almost 200 more injured after one of Taiwan's new, faster commuter trains derailed. https://t.co/TPnLtDZOJ9 https://t.co/gDOT5y2AEF 	2018-10-21
Cody Wilson, man behind 3-D printed gun, arrested in Taiwan amid sex assault allegations, official says https://t.co/g9Rm828ygU 	2018-09-22
Cody Wilson, man behind 3-D printed gun, arrested in Taiwan amid sex assault allegations, official says https://t.co/6eoPJ04AoD 	2018-09-21
Cody Wilson, gun entrepreneur accused of sex with minor, left US for Taiwan, officials say https://t.co/UZKFrZ6mSg 	2018-09-19
.@buffalobills player Taiwan Jones left bloodied after tackle https://t.co/xgPyFn0NCR 	2018-09-17
Dog-shaped ice cream treats from Taiwan are freaking out the Internet https://t.co/uxmeDTQWKu 	2018-08-20
Hippo attacks in Kenya kill 2, including Taiwan tourist taking pictures, authorities say https://t.co/wcZsIlnSWb 	2018-08-13
Taiwan's president says no one can 'obliterate' country's existence ahead of US visit https://t.co/paA1f3vfXb 	2018-08-12
Chinese media decries US' 'psychological games' as Navy ships sail Taiwan Strait passage https://t.co/U6BGqRA0rp 	2018-07-09
Chinese media decries US' 'psychological games' as Navy ships sail Taiwan Strait passage https://t.co/U6BGqRRBiX 	2018-07-09
China's Xi takes swipe at Trump's new 'doomed to failure' Taiwan policy in nationalistic speech https://t.co/gMVXLkYPSs 	2018-03-20
China's Xi takes swipe at Trump's new 'doomed to failure' Taiwan policy in nationalistic speech https://t.co/tLa29oBMJy (via @LukasMikelionis) 	2018-03-20
Taiwan detains developer of building where quake killed 14 https://t.co/Vld97VGPkm 	2018-02-28
A residential building leans on a collapsed first floor following an earthquake in Hualien, southern Taiwan. Crews continue to try to rescue people from damaged buildings after a strong earthquake hit Taiwan. https://t.co/Her5o3aVy5 https://t.co/lPZchoGyCD 	2018-02-07
Taiwan earthquake leaves several dead as rescuers desperately search for survivors https://t.co/VYmcZXimLG 	2018-02-07
Earthquake in Taiwan leaves 2 dead, 5 trapped, more than 170 others missing https://t.co/Sc1nYpPiTA 	2018-02-07
JUST IN: Two killed, more than 140 injured after 6.4 magnitude earthquake strikes Taiwan's coast https://t.co/L5i9GhsN3h 	2018-02-06
6.4 magnitude earthquake shakes Taiwan, topples buildings, reports say https://t.co/L5i9GhsN3h 	2018-02-06
Taiwan passport accidentally incorporates photo of Washington Dulles Airport https://t.co/blCLFH32ZQ 	2017-12-28
Taiwan passport accidentally incorporates photo of Washington Dulles Airport https://t.co/8hIyA2hmaF 	2017-12-28
SPECTACULAR: Timelapse video of a #rainbow that lasted nearly nine hours was captured in Taipiei, #Taiwan. https://t.co/tAPISlkod9 	2017-12-05
John Moody: @UN tours open to terror and thug states - but not Taiwan 	2017-07-14
Chinese carrier sails into defense zone, Taiwan says https://t.co/Bwy3rASCHK https://t.co/M7lG7hMrqE 	2017-07-12
Rex Tillerson: "We've made important commitments to Taiwan... and I think we should express a reaffirmation of those." https://t.co/q7X3CvmGLQ 	2017-01-11
Taiwan scrambles jets as China aircraft carrier enters Taiwan Strait https://t.co/YVnlAXicTT https://t.co/QXFVclVNg5 	2017-01-11
Cruz meets with Taiwanese president, blasts China https://t.co/zYHdoEXjJr 	2017-01-09
Taiwan's president heads to US, but won't meet with Trump https://t.co/uKYdSDgKOO https://t.co/C4vmIrSwTJ 	2017-01-07
Taiwan loses diplomatic ally in move welcomed by China https://t.co/qDuqLxStLy 	2016-12-21
Taiwan authorities crush illegal Lamborghini https://t.co/9uSRZ9gClf 	2016-12-15
Chinese media calls Trump 'ignorant' after Taiwan comments https://t.co/O14GpT5j3Z 	2016-12-12
China flies nuclear-capable bomber in South China Sea after Trump Taiwan call, US officials say https://t.co/ZLHXp8FxPA 	2016-12-10
China flies nuclear-capable bomber in South China Sea after Trump Taiwan call, US officials say https://t.co/nTMCJjLIhY 	2016-12-10
China flies nuclear-capable bomber in South China Sea after Trump Taiwan call, US officials say https://t.co/ZLHXp8FxPA 	2016-12-10
