tweet	date
"The first eight episodes of the 3rd season of #HongKong TVB's TV series #LineWalker were released on streaming platforms in the Chinese mainland on Monday, quickly earning a lot of reviews and soon becoming a hot topic on Sina Weibo. https://t.co/TimR2n5yaE https://t.co/dKtu7Vyj8r "	10/13/20
"After Hong Kong riot leader @joshuawongcf released information on mainland police officers, colluded with foreign forces, and incited anti-mainland sentiment, experts and lawyers have called for him to be punished for his lack of penitence. "	10/13/20
"Trading in Hong Kong's #stock market and Southbound trading under Shanghai-Hong Kong Stock Connect was suspended on Tuesday due to tropical storm Nangka, say authorities. #HK https://t.co/nvKbWgaB87 "	10/12/20
"New definition of media representatives under the Police General Orders has won wide support from #HongKong residents and observers. They refuted claims the amendment undermined a free press, saying it's a measure to help restore ethics code of #HK media. https://t.co/uInjsC0zsI https://t.co/bxsAxJZsIx "	10/12/20
Beijing's #PalaceMuseum announced on Saturday in an article published in its journal that the currently under construction Hong Kong Palace Museum in #HongKong Special Administrative Region is expected to open in late June 2022. https://t.co/HpFELd2o22 https://t.co/HUChCx9p8C 	10/12/20
"#HongKong has postponed publishing this year's annual policy address (originally scheduled on Wed) as #HKSAR Chief Executive Carrie Lam is invited to Shenzhen SEZ anniversary event. The address should be published by the end of Nov, Lam said at Monday's media conference. https://t.co/6HL6a9h7k9 "	10/12/20
"A package of “policy gifts” offered to #Shenzhen at the moment when China-US tensions grow and recovery momentum in post-COVID19 expected, cities like #HongKong and #Macao need more support from the mainland in a changing geopolitical environment: experts  https://t.co/TJc8POMlBk https://t.co/uryUjHmFoz "	10/11/20
"A year after China announced to build #Shenzhen, a neighboring city to #HongKong, into a socialist demonstration area, detailed measures were released Sunday, signaling unprecedented opening-up in finance, regional integration. https://t.co/tA3POYPnQR "	10/11/20
"Exclusive: A typical story about #Taiwan espionage activities against mainland — In 2019, Lee Meng-chu, a Taiwan spy, came to #HongKong to support illegal violent protest, and also spied on armed police deployment in Shenzhen: state security source https://t.co/xe9FSIndhL https://t.co/VNeAazrvUk "	10/11/20
China’s securities regulator said on Sat that it has received documents from Standard Chartered Bank (Hong Kong) for approval to set up a brokerage firm. https://t.co/sj7QSzMhi8 	10/10/20
#HongKong police on Sat arrested nine people for aiding 12 fugitives to escape the city – a serious crime that carries up to 10 years of imprisonment. The 12 fugitives were detained by mainland police for illegal border crossing in Aug. https://t.co/mirv3VRG4G https://t.co/igh8owtpoE 	10/10/20
China Central Television will restore #NBA coverage on Saturday one year after controversy caused by Houston Rockets GM over Hong Kong-related issues. https://t.co/mWou1RpuUQ 	10/9/20
"Hong Kong police have arrested 10,039 people, of which 2,266 have been prosecuted for crimes committed during social turmoil from June 9, 2019 to September 30, 2020, according to @HK police. (File Photo) https://t.co/lGXM3IwuKB "	10/8/20
"#HongKong reported 11 new confirmed cases of #COVID19, the most in past three weeks. Nine residential cases, including three Thai women, students and two imported cases, both patients, returned to HK from #India. https://t.co/rrQ57Ym6QL "	10/7/20
"Due to the COVID-19 epidemic, the 8th Hong Kong Games was postponed for one year. The Leisure and Cultural Services Department said selection of athletes in the 18 districts will be postponed to Apr 2021 to Jan 2022, inter-district games to March 2022. #HKG #LCSD #sports https://t.co/KhRuXPNvQb "	10/7/20
"China's permanent representative to the United Nations, Zhang Jun, on Oct. 6, 2020 refutes groundless accusations against China on issues related to #Xinjiang and #HongKong by the United States and a few other countries. https://t.co/NTAoMyBwtc "	10/6/20
"The Hong Kong Special Administrative Region (HKSAR) government on Tuesday extended social distancing restrictions for another week till Oct. 15, while expressing concerns about the probable worsening of local COVID-19 infections. https://t.co/ZdPpMAWEPP https://t.co/M8MRJE2D3f "	10/6/20
#HongKong stocks rally on first October trading day in sign of confidence in mainland firms https://t.co/acQlMz6OhJ https://t.co/pScpiVOtEu 	10/5/20
"#HongKong SAR govt said Monday it signed a comprehensive avoidance of double taxation agreement (CDTA) with #Georgia. This is the 45th CDTA that Hong Kong has concluded, reflecting sustained efforts to expand the city’s tax treaty network. https://t.co/gmsCh6tceg "	10/5/20
US 'double standard' condemned by central and HKSAR govts for defaming Hong Kong police's law enforcement against illegal assembly on National Day https://t.co/iUVAmKBrai https://t.co/KyfauF3LLw 	10/5/20
"The #HongKong Hang Seng Index edged up 1.46% to 23,801.97 points in the morning session on Monday, its first trading day in October. Analysts think long-term prospects look good, predicting capital will flow in from the #US. https://t.co/acQlMz6OhJ https://t.co/jZnTu43Igc "	10/5/20
#Chinese chipmaker SMIC trading in #HongKong saw its share price drop 2.87% to HK$17.6 ($2.27) at the opening Monday. It said Sunday that #US export restrictions may adversely impact business. https://t.co/MOPrCLS3q4 	10/4/20
Night view of Victoria Harbour in south China's Hong Kong 	10/4/20
"Hong Kong is discussing with mainland&amp;Macao govts to scrap 14-day mandatory #quarantine for visitors who hold negative nucleic acid test results via health code mechanisms, but #HK won’t implement the policy until #COVID19 situation stabilizes in the city, a HK govt official said https://t.co/ireWR4HeMB "	10/3/20
#HongKong has reported several sporadic cases of #COVID19 from unknown origins since being hit by a 3rd wave in July. #Respiratory experts speculate these cases may be linked to imported patients that might have caused small-scale community transmissions. 	10/2/20
#HongKong raises flags to celebrate National Day 	10/1/20
"A nurse in #HongKong tested positive for #COVID19 on Thu, said the Hong Kong govt. His ward's 29 co-workers and 44 patients have since tested negative. He is now receiving treatment in isolation and is in stable condition. https://t.co/8h9ZOKzhDH "	10/1/20
"Patriotism is an obligation not an option, it is the right way that should be followed by every #HongKong resident, a local woman said, echoing the remarks of director of central government's liaison office, Luo Huining. https://t.co/eGPEfIPz1Q https://t.co/xTdQh7mdq0 "	10/1/20
Paragliders in #HongKong  fly in the sky with Chinese national flags to celebrate the 71st anniversary of the founding of the People's Republic of China. https://t.co/vnmgVn3ZmE 	10/1/20
"People from the IT sector in Hong Kong hand out Chinese national flags and Hong Kong SAR region flags, mooncakes and masks to local residents to celebrate the National Day and the Mid-Autumn Festival. https://t.co/8wNMuaJfbm "	10/1/20
