tweet	date
#Opinion: Whatever the US sells to Taiwan, the balance of military strength between the island's military and the PLA will not change — Chinese mainland will always retain the upper hand. https://t.co/lvrEvRv4us https://t.co/KYJR2ylDoK 	2020-10-13
Consecutive State media reports unearthing espionage cases involving spies from the island of #Taiwan should not be interpreted as a prelude to cross-Straits conflicts. https://t.co/jzt14cAGJJ https://t.co/h1qIQGoT2s 	2020-10-13
The #US is forcing the island of Taiwan to pay protection money in the form of arms sales, which will not change the #PLA's absolute superiority in the Taiwan Straits, and the Taiwan authority knows it: Chinese mainland analysts. https://t.co/wETWSkJ9Lv https://t.co/T6nZlPVaPh 	2020-10-13
Two #Taiwan spies, Tsai Jin-shu and Shih Cheng-ping, were detained in the mainland for providing intelligence about mainland officials, think tank experts &amp; journalists to Taiwan intelligence authorities, &amp; for prying mainland's internal documents: sources https://t.co/sxDuWU7m19 	2020-10-13
China resolutely opposes the US' plan to sell three weapons systems to the island of Taiwan, and will respond according to the development of the situation: FM spokesperson Zhao Lijian https://t.co/TcxcGNNTZJ 	2020-10-13
#Opinion: If US strategic ambiguity toward #Taiwan shifts to strategic clarity, the situation would be similar to the restoration of the US-Taiwan military alliance, a direct assault on the three communiqués between China and the US. https://t.co/TG2HvGNDZs https://t.co/LIRnXCvI0Q 	2020-10-13
#Opinion: Given the current complex intl situation and overheated tensions between China &amp; US, espionage orchestrated by Taiwan will likely escalate. DPP authorities led by @iingwen are accelerating confrontation and jeopardizing peace. https://t.co/VY2Q5Tbb1S https://t.co/6I2ZEFB5he 	2020-10-12
#opinion: New Delhi will be frustrated playing the #Taiwan card. In terms of China’s sovereignty, #India is not free. China won’t allow other countries to break its bottom line, and this has nothing to do with democracy or freedom. https://t.co/s3jrtZyZZS https://t.co/ryZRQI3bsX 	2020-10-12
After Cheng, the #TaiwanSpy was detained on the mainland, he confessed that “no country would allow secessionist and separatist activities, and what I have done caused harm to the mainland.” https://t.co/ng0NNX4M3J https://t.co/PcgnXstFOe 	2020-10-12
#Opinion: Shifting to "strategic clarity" regarding the island of Taiwan will be disadvantageous to the US. In fact, Washington intends to maintain the status quo, and keeps playing the "Taiwan card." This seems to be the most favorable US position. https://t.co/xZk9C317ec https://t.co/k6ObPLbQ4d 	2020-10-12
#Opinion: Some people in India have begun to follow Washington's steps, trying to play the Taiwan card. The US' support is unreliable, while China's counterattack is firm. India is playing with fire. https://t.co/s3jrtZyZZS https://t.co/lc498uXVl4 	2020-10-12
#Opinion: Some in the US have hyped up the idea that Washington should shift from being ambiguous to being clear and open about Taiwan question. But Washington won't take risks to break its ties with Beijing for the island, as the price is too high. https://t.co/xZk9C317ec https://t.co/GWGNvGaHNA 	2020-10-12
Cheng, the #TaiwanSpy detained by mainland state security agency, has spread lies in Czech Republic, saying that local "Chinese mainlanders are spies" and falsely claiming that it was "internal info from Czech govt agencies." https://t.co/btsy359SpE 	2020-10-12
Exclusive: A typical #TaiwanSpy case uncovered by mainland state security agency showed Taiwan separatist authority used its spy in Czech Republic to collect intelligence, infiltrate mainland &amp; damage PRC's diplomatic ties with other countries. https://t.co/ng0NNX4M3J https://t.co/K2GROrbFh6 	2020-10-12
A PLA KJ-500 early warning aircraft approached Kinmen on Monday morning, prior to the PLA's live-fire exercises scheduled from Tue-Sat at a sea location less than 100 km away from Kinmen, Taiwan media reported. https://t.co/RR6q8ayTdH 	2020-10-12
The PLA deployed multiple types of unmanned aerial, surface and ground vehicles in its recent cross-sea joint multidimensional landing drills off the Chinese mainland’s southeastern coast amid tensions in the Taiwan Straits. https://t.co/uVvFjUZfae https://t.co/uFX0CG3bAS 	2020-10-11
Videos, photos taken by Lee, the #TaiwanSpy, are classified military information. The intel could allow foreign forces to figure out the troops' hierarchy, scale, combat capacity: state security police https://t.co/xe9FSIndhL 	2020-10-11
Former Kuomintang  chairperson Hung Hsiu-chu repeatedly threatened by the separatist Taiwan DPP over her steadfast pro-reunification stance. Hung said few want to see a "scorched earth" Taiwan if war breaks out. Check out GT's exclusive interview with Hung https://t.co/plU0d8cuRR https://t.co/thHSPNDkZT 	2020-10-11
The #PLA conducted amphibious landing drills off the Chinese mainland's southeastern coast amid tensions in the Taiwan Straits in a move analysts said demonstrated the mainland's firm will against Taiwan secessionists and push for reunification. https://t.co/TFMM9ncicY https://t.co/Ujh0gnrZ8L 	2020-10-11
Chinese mainland's state security agency uncovered hundreds of #Taiwan espionage cases recently. Taiwan separatist authority's spy networks against the mainland have been destroyed. Read GT's special coverage on major cases:  https://t.co/xe9FSIndhL 	2020-10-11
Exclusive: A typical story about #Taiwan espionage activities against mainland — In 2019, Lee Meng-chu, a Taiwan spy, came to #HongKong to support illegal violent protest, and also spied on armed police deployment in Shenzhen: state security source https://t.co/xe9FSIndhL https://t.co/VNeAazrvUk 	2020-10-11
PLA will hold live-fire drills in waters off the coast of East China's Fujian Province from Tuesday to Saturday. Taiwan media said the location of the drills is less than 100 km away from Kinmen. https://t.co/BGbOMziV0R 	2020-10-11
Tsai Ing-wen’s speech on Saturday has once again proved the separatist nature of the DPP authority of Taiwan, as Tsai’s remarks are full of confrontation and hostile mentality: spokesperson of Taiwan Affairs Office of the State Council https://t.co/aBBpleF8aQ 	2020-10-10
Hanging up posters arranged by India BJP leader celebrating the “national day” of Taiwan island outside Chinese Embassy in New Delhi is an act of playing with fire, and will only worsen the already soured China-India ties, Chinese analysts warned. https://t.co/onNM80JNWh https://t.co/fjGfkySkuh 	2020-10-10
The military on the island of Taiwan reportedly held exercises in the southwest region off the island's coast on Friday, but that did not stop the PLA from conducting a warplane sortie on the same day in that particular region, reports said. 	2020-10-09
The root cause of the current complex, severe tensions in the #TaiwanStraits is the #DPP authorities' collusion with external forces and continuously provocative separatist actions,  the Taiwan Affairs Office of the State Council spokesperson said. https://t.co/LRAAujGBci https://t.co/F3WbVmFz5J 	2020-10-06
Regardless of intentions, #KMT’s proposals against the Chinese mainland, and promoting #Taiwan island’s relationship with the US will tarnish the party, experts said. https://t.co/LRAAujGBci https://t.co/DfA88EB245 	2020-10-06
Czech recently reaffirmed the one-China principle, refusing the Senate leader to attend a foreign policy meeting due to his Taiwan trip. Analysts said Prague’s prompt move seeks to save bruised ties but also urged Czech to reframe politicians’ power. https://t.co/nZOUV63UdN https://t.co/Pav9AKck8w 	2020-10-05
The PLA’s frequent and concentrated warplane sorties in the Taiwan Straits seem to be wearing out the military on the Taiwan island, observers said. https://t.co/2C8qf6cLXO 	2020-10-04
The PLA reportedly sent warplanes to the Taiwan Straits again on Sunday, marking the 4th consecutive day since the start of the Chinese mainland’s National Day and Mid-Autumn holiday period. https://t.co/aXGPjpkNdx https://t.co/QTSkg7OhTk 	2020-10-04
HK murder suspect Chan Tong-kai has notified his lawyer on the island of Taiwan to pave the way for his surrender to accept trial on the island; hopes it could be arranged in October: source 	2020-10-02
#Opinion: Fundamentally, US-Taiwan relations depend on China-US relations. The US and the island of Taiwan will become distant only when the China-US relations improve: Chinese expert 	2020-10-02
The authority on the island of Taiwan said it has established communication channels with HK police on the murder suspect Chan Tong-kai's surrender to Taiwan; and is well prepared for the relevant work. 	2020-10-01
Despite #Taiwan authorities' threats and intimidation, Taiwan-born entertainers Ouyang Nana and Angela Chang performed at #Chinese mainland's #NationalDay gala on Wednesday evening. https://t.co/mGwkatfHdl 	2020-09-30
A small group of Taiwan secessionists should not go further in the road of seeking independence via "constitutional amendments." They should stop playing with fire or they will get themselves burned, warned the Taiwan Affairs Office of the State Council. https://t.co/jG3KFRuphY https://t.co/Pw5RiMNcMC 	2020-09-30
Threats from Taiwan authorities warning Taiwan-born entertainers not to perform at Chinese mainland's National Day gala are trumped-up charges and arbitrary condemnation, said the Taiwan Affairs Office of the State Council. https://t.co/9PuFl29I8h https://t.co/7mPsABHGgj 	2020-09-30
Threats from Taiwan authorities to Taiwan-born entertainers attending the #Chinese mainland gala held for the #NationalDay holidays are arbitrary condemnations: Ma Xiaoguang, spokesman for the Taiwan Affairs Office of the State Council https://t.co/mBW9QCR8aI 	2020-09-29
There is no so-called middle line in the Taiwan Straits and the PLA's training and exercises are necessary moves to safeguard national sovereignty and territorial integrity: Taiwan Affairs Office of the State Council https://t.co/zBwwixTQGs 	2020-09-29
Survey: 54.2% of Taiwan respondents wish for peaceful talks with Chinese mainland, 22.3% expect help from US, 16.5% say Taiwan island should fight. Analysts believe survey will put pressure on DPP authorities. https://t.co/ijYF9yNzFt 	2020-09-28
#Taiwan authorities asking international organization to list it as Chinese Taipei reinforces one-China principle. DPP is deceiving itself in seeking secessionist presence, goes against historical trend, analysts said. https://t.co/9C0gBn6T4P https://t.co/YXJbwokl2H 	2020-09-28
Residents in #Taiwan worry cross-Straits tensions may fall into war. Surveys show perceptions of official, military relations have deteriorated. Most of respondents hope for peaceful talks with Chinese mainland.  https://t.co/1KiZk9KEb9 https://t.co/xxZZ78yukS 	2020-09-28
#Taiwan-born actress Ouyang Nana shared an ocean view picture on instagram saying "life is wonderful," which is her first social media post since the secessionist DPP threatened her not to sing at a Chinese mainland gala. https://t.co/dPYSS8s1vk https://t.co/sVZPFEv7Qm 	2020-09-28
#Taiwan regional government is putting politics over residents’ health, and putting all its eggs in one basket, by refusing Chinese mainland-developed #COVID19 #vaccines: experts https://t.co/HKHAfpKq1l https://t.co/WAf3OXxbxt 	2020-09-27
Far-sighted #Taiwan compatriots won’t yield to DPP intimidation but continue working to facilitate cross-Straits communications, carrying goodwill to each side. https://t.co/dPYSS8JCTU https://t.co/11pYbdH0br 	2020-09-27
The #PLA has reportedly sent at least ten Y-8 anti-submarine aircraft to the southwest of Taiwan and a Y-9 reconnaissance aircraft to the east of #Taiwan over the past week. These intel-gathering ops are preparing for possible real combat, experts said. https://t.co/8dN1ojU1Xv https://t.co/BsojJE2eH4 	2020-09-27
#Taiwan authorities obstruct two singers from attending mainland gala using intimidation, showing DPP is politicizing culture and spreading green terror to thwart cross-Straits exchanges: analysts https://t.co/dPYSS8s1vk https://t.co/OWnE7h0O2e 	2020-09-27
Was a J-20 fighter jet deployed during the ongoing PLA exercises in the Taiwan Straits? Even if it was deployed, Taiwan would not be able to spot it, thanks to its stealth capability, analysts said. https://t.co/9H86829Ehk https://t.co/EFYQWToahX 	2020-09-26
A video circulating on Chinese mainland social media that shows a #PLA J-20 stealth fighter jet flying over an East China city has sparked fear in #Taiwan and delivered a powerful warning to separatists on the island and the US. 	2020-09-26
Chinese mainland students who study in Taiwan for postgraduate and doctoral degrees continued to decrease and dropped to only 88 in 2019-20 terms, leaving 297 vacancies: Taiwan media. https://t.co/yiiLnQRxZU 	2020-09-26
A first securities joint venture between the Chinese mainland and Taiwan was unveiled on Friday in Xiamen, East China's Fujian Province, with business areas covering securities brokerage and underwriting. https://t.co/spn6kzMFeA 	2020-09-25
Taiwan island’s Hsiung Feng II E or Sky Bow III missiles stand zero chance in a confrontation with Chinese mainland. The PLA would deploy ballistic missiles to destroy the island’s ground defense system before it dispatches warplanes to combat area. https://t.co/XSzdKKz0x8 https://t.co/ttcBKsKbTS 	2020-09-25
Hsiung Feng II E likely serves as target projectile to test an enhanced variant of Sky Bow III, defense experts speculated after Taiwan's high-profile weapon test on Thu evening. https://t.co/XSzdKKz0x8 https://t.co/Cs2NmqYdyf 	2020-09-25
In a plainly vain effort the island of Taiwan authorities are merely making a scene by seeking Tsai Ing-Wen’s participation in the APEC Informal Senior Officials' Meetings this year: Chinese FM spokesperson Wang Wenbin https://t.co/TStgutl4GO 	2020-09-25
The #US forces returning to #Taiwan would meet conditions for resolving the Taiwan question with military means, and the #PLA would definitely take action and engage in a just war to liberate Taiwan: Editor-in-Chief Hu Xijin #HuSays https://t.co/Xw1GcwEAR6 	2020-09-24
#Opinion: Trump has frequently played the #Taiwan card, trying to win his presidential election without any costs. In the face of this, China should not hold out hope for the US. China must maintain its strategic focus. https://t.co/TcIeuv7LXZ https://t.co/gsMvN4iIcH 	2020-09-24
#环球时报Editorial: If the Taiwan authorities still believe that the US and Taiwan can adopt "salami slicing" by sending higher-level officials to visit each other, they are making a gamble that will be costly to both of them.  https://t.co/BKgaolLfU0 https://t.co/XWvsrS5TS1 	2020-09-24
As a #US Army journal recently hyped deploying ground forces to #Taiwan, experts suggest the #PLA to prepare for the worst and maintain a strategic focus, which is to continue preparing for a reunification-by-force operation with realistic exercises. https://t.co/rUQjKnFNj2 	2020-09-24
A #US Army journal article believes returning US forces to Taiwan is a good idea, which is not welcome even by politicians on Taiwan island. The move, if it comes true, would only trigger a reunification-by-force operation by the #PLA, experts said. https://t.co/lQluKbFLrj https://t.co/E7htn6yYbS 	2020-09-24
If Taiwan secessionists dare try to separate the Taiwan island from China by any means, China will resolutely defeat them at all costs: China's new defense ministry spokesperson on Chinese PLA's recent live-fire exercises in the Taiwan Straits https://t.co/kw71rOFEGB 	2020-09-24
The PLA’s live-fire exercises in the Taiwan Straits demonstrate its determination and ability to safeguard national sovereignty and territorial integrity. The Taiwan DPP’s provocative attempts for “independence” will not succeed: Defense Ministry spokesperson Tan Kefei https://t.co/qgEEGjbVr9 	2020-09-24
The Chinese mainland never recognizes the “median line” in #Taiwan Straits, which is an equivalent to a line that marks the division of a country: experts  https://t.co/QiwdUoejTP https://t.co/6ImU5rJbN3 	2020-09-23
Most #Taiwan residents have never experienced the war and cannot understand its cruelty. The thought that "the mainland would dare not achieve reunification by force" will bring disaster, an expert said. https://t.co/QiwdUoejTP https://t.co/x8GXHX6rQT 	2020-09-23
#Opinion: If the US and the island of Taiwan take further actions, the Chinese mainland will increase pressure on them in political, economic, diplomatic and military aspects. https://t.co/2NCI1aWW1N https://t.co/KzTdhnqnNE 	2020-09-23
#Opinion: If the US and the island of Taiwan take further actions, the Chinese mainland will increase pressure on them in political, economic, diplomatic and military aspects. https://t.co/XDwuoNSHqH https://t.co/GQGE0dogZf 	2020-09-23
PLA Eastern Theater Command, responsible for Taiwan Straits and one of the most exercise-intensive PLA commands this year, recently disciplined a soldier for leaking classified intelligence via mobile phone. https://t.co/sNkwnwGiWX https://t.co/1hcewaa9b3 	2020-09-23
#Opinion: In face of escalated tensions by the US and the island of Taiwan, the Chinese mainland has many cards to play. The key is which and how the mainland is willing to play. https://t.co/2NCI1aWW1N https://t.co/CIT1rf6Wsj 	2020-09-22
#Opinion: If the US and the island of #Taiwan take further actions, the Chinese mainland will increase pressure on them in political, economic, diplomatic and military aspects. https://t.co/Bt1YsGOtBg 	2020-09-22
#HK priest said #HongKong murder suspect Chan Tong-kai, whose case triggered months-long social unrest in 2019, has been living in a police safe house since last October waiting to surrender to #Taiwan after #coronavirus travel restrictions are lifted. https://t.co/9dlZJfJyBZ https://t.co/57zRY1em6l 	2020-09-22
The US move of sending senior officials to #Taiwan seriously violated the one-China principle and undermined peace and stability across the Taiwan Straits: Ma Xiaoguang, spokesperson for the Taiwan Affairs Office of the State Council https://t.co/4V5lQ7M8fX 	2020-09-22
