tweet	date
China should fully implement the "One Country, Two Systems" policy and promote the integrated development of the Chinese mainland, Hong Kong and Macao: President Xi Jinping at the grand gathering celebrating the 40th anniversary of the establishment of #Shenzhen SEZ https://t.co/w0aAlWrTTp 	2020-10-14
President Xi Jinping asked Shenzhen to take active moves to further promote construction of Guangdong-Hong Kong-Macao Greater Bay Area, urging wider exchanges&amp;deeper integration among young people in the three regions to strengthen their sense of belonging to the motherland. https://t.co/e82JCvVVoC 	2020-10-13
A total of 10,039 people have been arrested in S China's #HongKong from June 9, 2019 to Sept. 30, 2020, 2,266 of which have been charged with crimes in relation to last year's social unrest in the city, HK Police said Thursday. https://t.co/CdGHkEXB3t 	2020-10-08
China's UN envoy Zhang Jun refuted groundless accusations against China on issues related to Xinjiang &amp; Hong Kong by US and a few other countries and rejected their statements &amp; acts of interfering in China's internal affairs with excuse of human rights at UN General Assembly Tue https://t.co/tz8hxe5Jjd 	2020-10-07
China's Hong Kong SAR government signed a comprehensive avoidance of double #taxation agreement (CDTA) with #Georgia on Monday, which is the 45th of such agreement that the HKSAR has concluded with its trade partners. https://t.co/eOi92K05eL 	2020-10-05
China's Hong Kong SAR government on Sunday strongly deplored and opposed the statement made by the US Department of State on Oct. 3 regarding the arrests made by the Hong Kong Police on Oct. 1. https://t.co/Oze9vZnKxJ 	2020-10-04
Check out the video to see the incredible bridges in China, including the world's longest cross-sea bridge, Hong Kong-Zhuhai-Macao Bridge. #MadeInChina https://t.co/YX8LAdfcKm 	2020-10-02
In pics: Flag-raising ceremonies were held to celebrate the 71st anniversary of the founding of the People's Republic of China at various venues in S China’s Hong Kong, on Oct. 1. https://t.co/rc2sLzYrmq 	2020-10-01
#HongKong is closely linked to the motherland, and the prosperity of the country has brought boundless vitality to HK, said HKSAR Chief Executive Carrie Lam at an event celebrating the 71st anniversary of the founding of the People's Republic of China.  https://t.co/1PXykM2ExT https://t.co/88ffne5H3Z 	2020-10-01
#HongKong SAR government officially handed over the Central Military Dock to PLA Hong Kong Garrison on Tuesday. The 150-meter-long military dock on the northern shore of Hong Kong Island is the last military facility required to be re-provisioned for use by the PLA HK Garrison. https://t.co/ln24fsrCK0 	2020-09-29
Residents of S China’s #HongKong and #Macao special administrative regions will be able to renew or replace their mainland #travel #permit in the Chinese mainland from Oct. 10, China's National Immigration Administration (NIA) said on Monday. https://t.co/v9KtPUB94c 	2020-09-28
With 1.78 million specimens tested and 32 new patients identified, mainland medical experts, who carried out round-the-clock #COVID19 #testing over the past two weeks in S China’s #HongKong, have accomplished their mission. https://t.co/MNzbZ6xaC6 	2020-09-16
Hong Kong on Monday evening completed its mass #COVID19 screening program launched two weeks ago, with the participation of some 1.78 million residents in total. https://t.co/bVMvR9sHOE 	2020-09-15
The 1st air-inflated laboratories at S China’s #HongKong are believed to have set a world #record for #testing 100,000 single-tube samples for #covid19 each day, said HK Hospital Authority chairman. https://t.co/1P6BSU8hbE 	2020-09-14
More than 1.7 million residents of the Hong Kong SAR have been tested under the city's universal #COVID19 community testing program, the government said on Sunday. https://t.co/BsWsgBcuXd 	2020-09-14
China's #HongKong Special Administrative Region (HKSAR) took the top place in the ranking of the world's #freest #economy, according to the annual report released by Fraser Institute. https://t.co/uDElg5vFiE 	2020-09-11
China has slapped reciprocal restrictions on diplomats and other personnel at the US embassy and consulates in China, including the US consulate in #HongKong, FM spokesperson said Fri, urging the US to withdraw its restrictions. https://t.co/b3ZJYNX4FW 	2020-09-11
A rare 102.39-carat D Color Flawless Oval Diamond will be auctioned in S China’s #HongKong on October 5. https://t.co/6rffAIIXKS 	2020-09-10
A total of 10,016 people in S China's #HongKong have been arrested from June 9, 2019 to Sept. 6, 2020 in relation to social chaos and violent incidents, 2,210 of which have been charged, #HK Police Force said on Wednesday. https://t.co/OTHTK0jhF4 	2020-09-09
"We have zero tolerance for any violation of the national security law in Hong Kong," Liaison Office of the central gov't in the HKSAR on Sun voiced firm support for HKSAR gov't and HK police in resolutely enforcing the law and safeguarding HK's social stability and rule of law. https://t.co/G9jOf6YLaX 	2020-09-06
The #HongKong SAR government Friday decided to extend its universal screening program by four days until Sept 11. As of 11:00 am on Friday, about 917,000 people have signed up online for the Universal Community Testing Program. https://t.co/edlTwLvY0M 	2020-09-04
Another 117 members of the mainland nucleic acid testing team arrived in Hong Kong Thursday for the Universal Community Testing Program that started on Sept. 1, bringing the total number to 427. About 820,000 residents had registered for the program as of 8 am Thursday. https://t.co/ueAI4AGnvu 	2020-09-03
With another 89 members arriving in Hong Kong Wednesday, there are currently more than 300 members from mainland medical support teams in Hong Kong to help the anti-epidemic fight. https://t.co/gI8zjNiHNk 	2020-09-03
S China’s #HongKong has called off the annual National Day fireworks display on October 1 due to public security concerns amid #COVID19, according to HK government on Wednesday. It's the fourth cancellation in the past 10 years. https://t.co/haqd5jpCHv 	2020-09-02
Check out the video to see the incredible bridges in China, including the world's longest cross-sea bridge, Hong Kong-Zhuhai-Macao Bridge. https://t.co/liXulBdhY2 	2020-09-01
#HongKong rolled out free universal nucleic acid testing from Sept 1. Over 550,000 residents have made appointments online for the #COVID19 testing. https://t.co/eUloHmzJvV 	2020-09-01
The Liaison Office of the Central People's Government in the Hong Kong Special Administrative Region (HKSAR) on Sunday condemned the rumor-mongering about the mainland's support for Hong Kong's fight against COVID-19. https://t.co/n3necdnijG 	2020-08-30
Over 310,000 people in China's #HongKong SAR have submitted online reservations for the city's mass #COVID19 screening as of 8:00 am on Sunday, the local health authority said. https://t.co/SaHrKtBrRh 	2020-08-30
#HongKong streets restore hustle and bustle as the #COVID19 #epidemic wanes in the city https://t.co/ftMCxZ951t 	2020-08-29
A team consisted of 164 Chinese mainland medical personnel arrived in Hong Kong on Friday. They will assist the citywide #coronavirus testing starting Sept 1. https://t.co/0mX1P6yDxd 	2020-08-28
Hong Kong's Fire Eye Lab, consisted of 16 air-inflated film chambers, is ready to support a citywide #COVID19 testing starting Sept 1, as HK has seen another wave of COVID19 outbreak with unknown sources of infections since July, indicating a high risk of community transmission. https://t.co/LyWHRjV4bk 	2020-08-28
7 healthcare professionals from S China’s Guangxi arrived in Hong Kong on Thurs, joining 60 other mainland doctors and nurses who had arrived earlier to help with the two-week citywide free #coronavirus testing starting Sept 1, which may involve millions of people. https://t.co/OVWTF2U4Ul 	2020-08-27
The Liantang Port/Heung Yuen Wai Boundary Control Point, a new checkpoint linking Shenzhen and Hong Kong, also the first with direct access facilities for both passengers and vehicles, opened to cargo trucks Wed, enabling HK to tap more opportunities in Greater Bay Area. https://t.co/TJzU6OwRUu 	2020-08-27
#Antibody gained from #COVID19 infections could wane faster than expected, resulting in a 2nd infection, experts warned.  After 1st #reinfection case was confirmed in #HongKong, more recovered patients getting infected a 2nd time were reported. https://t.co/lY25BHhU0c 	2020-08-26
A Hong Kong man who recovered from #COVID19 was infected again four-and-a-half months later in the first documented instance of human reinfection, researchers at the University of Hong Kong said on Monday. https://t.co/M34VLzaiI2 https://t.co/UxcsQAJW7R 	2020-08-25
S China’s #HongKong High Court on Friday ruled it lawful to detain the 1st person charged under the National Security Law which came into effect on June 30. https://t.co/2Rtao60Yyd 	2020-08-21
#HongKong SAR will carry out citywide #COVID19 testing with support from the Chinese central government starting from September 1, HKSAR Chief Executive Carrie Lam announced Friday. https://t.co/mrGmgddz0B 	2020-08-21
A team of 50 medical workers from south China’s Guangdong Province headed for Hong Kong on Friday to help with nucleic acid testing and assist fight against #COVID19. https://t.co/RLnqO45k3s 	2020-08-21
#HongKong SAR Legislative Council (LegCo) will begin the 2020-2021 ordinary session on October 14, 2020, according to the HKSAR government Gazette on Friday. https://t.co/3PUw4VbD7X 	2020-08-21
China has decided to suspend the judicial assistance treaty between its #HongKong SAR and the US, Chinese FM spokesperson said Thursday, urging the US side to correct its erroneous decision and stop interfering in China's internal affairs. https://t.co/JbLe9oNVWg 	2020-08-20
#HongKong SAR govt on Thur strongly condemns the US unilateral decision to suspend or terminate three bilateral agreements including the extradition treaty with HK, which is widely seen as a move to create trouble in the China-US relationship, using Hong Kong as a "pawn." https://t.co/mm4TofMEcT 	2020-08-20
#AirIndia flights are banned from flying into S China's #HongKong for two weeks after 11 cases of #COVID19 were reported on its flight on August 14, official said on Wednesday. https://t.co/TOZXKdSW6X 	2020-08-19
Dubbed a "super passage," a new port to facilitate travel between S China’s #Macao SAR and #Zhuhai, Guangdong Province, was officially put into use Tuesday, a new step to boost development of the Guangdong-Hong Kong-Macao #GreaterBayArea. https://t.co/SppF2rnJSt 	2020-08-18
China's Hong Kong SAR Chief Executive Carrie Lam said on Tuesday that she would give her annual policy address on October 14 https://t.co/GyBKe3MOWe 	2020-08-18
The Zhuhai-Macao freight passage of the Hong Kong-Zhuhai-Macao Bridge Port officially opened to traffic on August 16. Customs clearance can be completed within 24 hours. https://t.co/qbPYx6P8h1 	2020-08-17
#HongKong SAR will launch a free, voluntary mass-testing program for coronavirus from August 31, local media reports https://t.co/gJxC7xFWXG 	2020-08-17
A flotilla from PLA Hong Kong Garrison launched a multi-task military training in the #SouthChinaSea. https://t.co/OKbHolzySr 	2020-08-16
Passengers travelling from S China’s #HongKong to #Beijing must provide a negative #COVID19 nucleic acid certificate from Aug 17 and the tests have to be conducted within 7 days before boarding: #HK International Airport https://t.co/z2eHxPw4IR 	2020-08-15
China to start a pilot run of its Digital Currency Electronic Payment project in Guangdong-Hong Kong-Macao Greater Bay Area, Beijing-Tianjin-Hebei region, and Yangtze River Delta region, the country's Ministry of Commerce announced Friday. https://t.co/nzVDmRLFHt 	2020-08-14
China has decided to suspend the agreement on the surrender of fugitive offenders (SFO) between its #HongKong Special Administrative Region (HKSAR) and Germany and shelve a similar one with France, Chinese Foreign Ministry spokesman said Thursday. https://t.co/tBvciQYgV9 	2020-08-13
China's central bank Thursday issued 30 billion yuan (about $4.32 billion) worth of bills in Hong Kong, which was well-received by investors in the offshore markets, with the total bid amount reaching about 62.4 billion yuan, 2.1 times the amount in circulation. https://t.co/H8upT21kua 	2020-08-13
Travelers from the Chinese mainland will be able to transit in #HongKong International Airport to other destinations from Saturday through Oct. 15, but the transit service for the other way around is still suspended, the Airport Authority Hong Kong said Thursday. (file pic) https://t.co/pQmq7p7vqw 	2020-08-13
#HongKong SAR suspends its extradition agreements with France and Germany, according to an official statement released Wednesday. https://t.co/7cY6FRQ7aX 	2020-08-12
A Chinese mainland spokesperson on Wed urged Taiwan's Democratic Progressive Party (DPP) authority to immediately stop political manipulation over #HongKong issue, adding DPP authority's real intention is to make chaos in HK and seek "Taiwan independence," which is doomed to fail https://t.co/ge5QOVQv1S 	2020-08-12
The decision of China's top legislature on the vacancy of the Legislative Council of #HongKong SAR will allow HK to focus on the anti-epidemic fight, Vice Chairman of the National Committee of the Chinese People's Political Consultative Conference Leung Chun-ying said. https://t.co/ET7JbeOosH 	2020-08-12
42 pro-establishment members of the #HongKong SAR Legislative Council (LegCo) issued a joint statement on Tuesday, supporting the decision of the Standing Committee of the National People's Congress for the sixth LegCo of the HKSAR to continue discharging duties. https://t.co/huBf3eTxsw 	2020-08-11
Chinese mainland on Tuesday adopted a decision to allow law practitioners in #HongKong and #Macao to qualify and work as lawyers in 9 cities of Guangdong Province on a trial basis. https://t.co/3Gh0RsMY1x 	2020-08-11
China's top legislature on Tuesday passed the proposal to extend operation for the sixth #HongKong SAR Legislative Council (LegCo). After Sept. 30, the sixth LegCo will continue performing duties for no less than a year until the seventh LegCo starts its four-year term. https://t.co/B53COKyKgc 	2020-08-11
China Monday slams 'Five Eyes alliance', incl Australia, Canada, New Zealand, UK and US, for politicizing the delay of Legislative Council (LegCo) elections in S China’s #HongKong, saying it added to the evidence that these countries are interfering in China's internal affairs. https://t.co/zDrVXeU8uA 	2020-08-10
China announced sanctions on 11 US officials, effective from Monday, in response to US sanctions against officials of #HongKong SAR, a foreign ministry spokesperson said, adding China urges the US to recognize the situation and stop interfering in China's internal affairs. https://t.co/KANotU7peF 	2020-08-10
The #HongKong SAR government released a statement Monday to welcome a joint statement signed by the pro-development camp on appealing to the community to work together to engineer changes for a better Hong Kong. https://t.co/rsKA8yodnT 	2020-08-10
Hong Kong riot instigator Jimmy Lai Chee-ying was arrested for violating #nationalsecuritylaw for collusion with foreign forces and fraud on Monday. https://t.co/vcdJWSg3X3 	2020-08-09
The Chinese mainland exported $470 mln worth of anti-epidemic supplies to Hong Kong during H1, 2020, up 130% YOY. Besides the supplies such as face masks, ventilators &amp; test kits, the mainland exported $1.8 bln worth of pharmaceutical products, up 14% YOY: Ministry of Commerce. https://t.co/oo0lelRfq4 	2020-08-09
The Hong Kong Special Administrative Region (HKSAR) government on Sat "vehemently criticized" US sanctions against officials from the HKSAR government, calling them "shameless and despicable," adding that "we will fully support the Central Government to adopt counter-measures." https://t.co/2Y4muzXy2B 	2020-08-08
U.S. on Friday imposed sanctions on S China’s #HongKong SAR Chief Executive Carrie Lam and 11 other top officials, according to Treasury Department's website. https://t.co/GMDr0v8eEu 	2020-08-07
#HongKong SAR will provide free nucleic acid tests for all residents, Chief Executive Carrie Lam said at a press conference on Friday. https://t.co/zMlceg78Dr 	2020-08-07
The gross interference in Hong Kong affairs, be it in words or action, can only undermine the sound implementation of the policy of "one country, two systems," said Chinese State Councilor and Foreign Minister Wang Yi. https://t.co/oxV3Erlmtk 	2020-08-06
China will build 775km (480 miles) of #intercity #railway and 5 transport hubs for the #Guangdong-#HongKong-#Macao Greater Bay Area, providing much-needed boost for cities in one of world's biggest #metropolitan areas, according to the National Development and Reform Commission. https://t.co/uVJ9hTWNIt 	2020-08-05
WATCH: PLA Hong Kong Garrison held a training exercise recently to improve the skills of newly trained drivers. https://t.co/CyqYpqmBZ5 	2020-08-04
24-kilometer new cross-sea bridge, linking the prosperous city of S China's #Shenzhen to Zhongshan, is under construction. It will play a key role in the transportation network in the Guangdong-#HongKong-#Macao Greater Bay Area upon completion. https://t.co/xZuVyTdivX 	2020-08-04
The 1st suspect charged of violating the #NationalSecurityLaw for #HongKong has been refused bail with the case suspended till Oct 6. The suspect, 23-yr-old male, was arrested on July 1 for recklessly driving a motorcycle with #HK independence flag and injuring 3 police officers. https://t.co/xnQPV8PHkC 	2020-08-04
The postponement of the 2020 Legislative Council (#LegCo) General Election in the #HongKong SAR was a legitimate move to protect the lives and health of HK citizens, and was necessary to ensure the safety, justice and fairness of the election, Foreign Ministry said Monday. https://t.co/GfoFJT18p7 	2020-08-03
#JustIn: #France decides to halt ratification of extradition treaty with S China's #HongKong, French Foreign Ministry said on Monday (AFP) https://t.co/jIzxjWMjYd 	2020-08-03
Congratulations! 👰🏻 🤵 🎊  16 couples from the #PLA Hong Kong Garrison had their group wedding recently. https://t.co/BuwekWDkuh 	2020-08-03
China's foreign ministry spokesperson Wang Wenbin on Monday announced the country's decision to suspend extradition and judiciary assistance treaties between its #HongKong SAR and #NewZealand. https://t.co/nDcWk1DNWY 	2020-08-03
7 virus testing professionals from the Chinese mainland arrived in #HongKong on Sunday afternoon as the first batch of mainland supportive teams to help contain a worsening spread of #COVID19 in Hong Kong. https://t.co/K8Yri8Uc29 	2020-08-02
Seven members of the supportive team from the Chinese mainland to assist #HongKong's fight against #COVID19 have arrived in HK by Sunday noon. They will help with laboratory work as the early batch of the 60-professional team assembled by the National Health Commission. https://t.co/eV8zoIF7Q3 	2020-08-02
The Chinese People's Liberation Army (#PLA) Garrison in #HongKong held a flag-hoisting ceremony on Saturday to mark the 93rd anniversary of the PLA's founding. https://t.co/whbjsZ2MEi 	2020-08-01
#HongKong's first makeshift mobile-cabin hospital at the AsiaWorld-Expo began operation on Saturday amid rising COVID-19 cases, mainly receiving patients with mild symptoms or those still waiting to be admitted to hospital. https://t.co/5vhwm3noqK 	2020-08-01
In video: To commemorate the 93rd founding anniversary of the Chinese People's Liberation Army (PLA), the PLA Hong Kong Garrison conducted a flag-raising ceremony on Saturday morning. https://t.co/Xpv84cOUFv 	2020-08-01
The first seven members of a nucleic acid testing support team from S China’s Guangdong will arrive in Hong Kong on Sunday, said the National Health Commission on Saturday. The team was organized at the request of #HKSAR government for battling against the #COVID19 https://t.co/VIm1mmQIt0 	2020-08-01
