tweet	date
China urges the US to fully recognize the seriousness of selling arms to #Taiwan, and cancel any such plans immediately, Foreign Ministry spokesperson Zhao Lijian said on Tuesday, adding that China will respond in accordance with the situation. https://t.co/abrlfEA5PF 	2020-10-13
A mainland spokesperson Sat slammed Tsai Ing-wen and the admin of DPP for advocating colluding with foreign forces to seek "Taiwan independence", adding that Tsai is deliberately misleading the people of Taiwan, and warning the Taiwan authorities to adhere to the 1992 Consensus. https://t.co/KCsUV92ioe 	2020-10-10
Chinese mainland on Wednesday voiced support for the participation of artists from the #Taiwan region in cooperation and exchange activities in the film and television sector in developing their careers on the mainland, a mainland spokesperson said. https://t.co/1Xix4pxPZm 	2020-09-30
A 5.0-magnitude earthquake jolted the waters off eastern #Taiwan at 12:37 pm Beijing Time on Wednesday, according to the China Earthquake Networks Center. https://t.co/975Zhcyubu 	2020-09-30
Chinese Taipei must attend APEC's agenda as a regional economy and follow one-China principle, FM spokesperson said on Friday, after Taiwan authorities said they’re preparing the appearance of the island’s leader Tsai Ing-wen at a virtual meeting of APEC. https://t.co/owMn3w05TJ 	2020-09-25
China reiterated Taiwan is an inalienable part of China and denied the so-called mid-line in Taiwan Strait, Chinese FM said responding to the claim that the Chinese PLA military exercises carried out near the Taiwan Strait last Fri &amp; Sat crossed the mid-line of the Taiwan Strait https://t.co/aTZZ5ooOdU 	2020-09-21
China says to take legitimate countermeasures, including targeting relevant individuals, following recent US officials' visits to its #Taiwan region, Chinese FM spokesperson said at a press conference on Monday. https://t.co/tXIZpDONzK 	2020-09-21
PLA's Eastern Theater Command conducts a live-fire drill in the Taiwan Strait starting from Friday, Ministry of National Defense spokesperson Ren Guoqiang said Fri, adding that the action is necessary to safeguard national sovereignty due to the current situation in the region. https://t.co/lTOT6Q6WXi 	2020-09-17
China strongly opposes official contact between US and Taiwan and has lodged solemn representations with the US over the upcoming visit of US Undersecretary of State Keith Krach to Taiwan, FM spokesperson Wang Wenbin said on Thur. https://t.co/cDd8wGwuZR 	2020-09-17
The PLA's military training activities at #Taiwan Strait are necessary to safeguard national sovereignty in consideration of the current security situation across the area, Ma Xiaoguang, spokesman with the Taiwan Affairs Office of the State Council, said on Wednesday. https://t.co/hKrmZIiCjQ 	2020-09-16
China strongly condemns Czech Republic's Senate speaker's Taiwan trip, said Chinese Foreign Ministry spokesperson Hua Chunying, adding the one-China principle is the foundation of China-Czech ties and corresponding measures will be taken. (file pic) https://t.co/ZnZpSQagFn 	2020-09-01
Heart-stopping moment! 3-year-old girl was swept high into the sky after a kite tangled around her neck during a kite-flying festival in SE China's #Taiwan on Sunday. Luckily, the girl landed mostly unscathed. https://t.co/xuwa9xdLtG 	2020-08-31
China will not sit by idly over Czech official's visit to Taiwan region, urging Prague to remedy the negative impacts, said Chinese Foreign Ministry spokesperson on Monday. https://t.co/zzrbHdNP9X 	2020-08-31
Those who attempt to challenge the one-China principle on the Taiwan question are making themselves enemies of the 1.4 bln Chinese people and will have to pay a heavy price for their moves, FM Wang Yi said Mon in response to Czech Senate Speaker Milos Vystrcil's visit to Taiwan. https://t.co/bA2J5hSZ0a 	2020-08-30
#China on Friday urged U.S. parties to abide by the #OneChina principle, the provisions of the three China-U.S. joint communiques, and handle #Taiwan-related issues prudently and properly, after the 2020 Democratic Party platform removed endorsement of "one China" policy. https://t.co/xvU1cwKWoP 	2020-08-21
The PLA Eastern Theater Command sent naval and aerial forces to track and monitor the entire course of USS Mustin destroyer as it sailed through the Taiwan Straits on Tuesday: Eastern Theater Command spokesperson https://t.co/jJqOMk78o9 	2020-08-19
China firmly opposed any form of official contact between the Taiwan region and Somaliland after the region opened a representative office in the East African territory on Mon, Chinese FM spokesperson Zhao Lijian said at a daily press briefing on Tue. https://t.co/qXiElvOf4K 	2020-08-18
China on Monday warned the U.S. that it should respect China's red line on the #Taiwan question, after the island finalized the purchase of F-16 fighter jets from U.S. aircraft manufacturer Lockheed Martin on August 14. https://t.co/dQZEZ4Tccz 	2020-08-17
Cute, cute, cute! A newborn #panda cub in Taipei Zoo, SE China’s Taiwan is being taken good care of. https://t.co/WTYObbw1ar 	2020-08-15
The #PLA Eastern Theater Command recently held training exercises in the #TaiwanStrait and its northern and southern ends to strengthen combat capability, a spokesperson said on Thur, adding patrol and training exercises are necessary moves to safeguard national sovereignty. https://t.co/FiEgphXTrF 	2020-08-13
Commenting on U.S. health secretary's #Taiwan visit, Chinese FM spokesperson urged U.S. officials to stop gesture politics. "U.S. saw 150,000 new cases, and 2,000 citizens died during his three-day-visit," he said, advising Alex Azar to focus on saving lives than blaming China. https://t.co/vvoC5N9bqY 	2020-08-12
